,tau_syn,tau_syn_slow,amp_slow
e5et_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e5et_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e5et_to_pv,0.905162575055,2.234185848565,0.228489324606641
e5et_to_sst,1.275797668617,2.950205902341,0.336968130611869
e5et_to_vip,1.677748410847,2.738353302078,0.25572265342405
e5et_to_inh,1.039929539507,3.078579391628,0.19812265866902
e5it_to_exc,1.7381891869869999,4.339727210926999,0.68353249134834
e5it_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e5it_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
e5it_to_e5et,1.8318457822399998,2.6171884009529998,1.08595608079456
e5it_to_e5it,1.798432212233,5.762523463331,0.683674117170858
e5it_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e5it_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e5it_to_pv,1.0616513593080001,5.035707143345,0.163495613053824
e5it_to_sst,1.232227859751,2.692085546044,0.358850886455589
e5it_to_vip,1.677748410847,2.738353302078,0.25572265342405
e5it_to_inh,1.203475454405,2.81987253797,0.296006412336897
e5np_to_exc,1.7520153147970001,2.903220573417,0.358321335490053
e5np_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e5np_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
e5np_to_e5et,1.8318457822399998,2.6171884009529998,1.08595608079456
e5np_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
e5np_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e5np_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e5np_to_pv,0.757973204013,1.5561815881699999,1.1255819240562
e5np_to_sst,1.275797668617,2.950205902341,0.336968130611869
e5np_to_vip,1.677748410847,2.738353302078,0.25572265342405
e5np_to_inh,0.787452421045,2.214934649889,1.25326573839687
e6_to_exc,1.7520153147970001,2.903220573417,0.358321335490053
e6_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e6_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
e6_to_e5et,1.8318457822399998,2.6171884009529998,1.08595608079456
e6_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
e6_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e6_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e6_to_pv,0.757973204013,1.5561815881699999,1.1255819240562
e6_to_sst,1.275797668617,2.950205902341,0.336968130611869
e6_to_vip,1.677748410847,2.738353302078,0.25572265342405
e6_to_inh,0.787452421045,2.214934649889,1.25326573839687
pv_to_exc,1.473467428307,6.161352063175,0.400112434183029
pv_to_e23,1.370360105111,6.161352063175,0.390248474439862
pv_to_e4,1.48592762499,4.542617800561,0.418155118619781
pv_to_e5et,1.8332228743499999,6.161352063175,0.400112434183029
pv_to_e5it,1.227917881112,6.1533564489420005,0.291507732628734
pv_to_e5np,1.50304464727,6.161352063175,0.400112434183029
pv_to_e6,1.50304464727,6.161352063175,0.400112434183029
pv_to_pv,1.036836466789,3.547021349313,0.296207412327629
pv_to_sst,1.6485923006699998,2.461139328341,1.20851945929501
pv_to_vip,1.05980967938,3.547021349313,0.319710817293358
pv_to_inh,1.05980967938,3.547021349313,0.319710817293358
sst_to_exc,2.5108446104280002,4.4110529892770005,0.841789251589243
sst_to_e23,2.5108446104280002,3.730986343003,1.00343364975683
sst_to_e4,1.496270213245,4.4110529892770005,0.841789251589243
sst_to_e5et,1.8332228743499999,4.4110529892770005,0.841789251589243
sst_to_e5it,1.20142119665,4.4110529892770005,0.841789251589243
sst_to_e5np,1.50304464727,4.4110529892770005,0.841789251589243
sst_to_e6,1.50304464727,4.4110529892770005,0.841789251589243
sst_to_pv,1.820899731139,3.399399775689,0.570987238876594
sst_to_sst,1.603123677543,3.5604441076980002,0.296983816410055
sst_to_vip,1.576747920368,3.9822886559879995,0.455758073866326
sst_to_inh,1.653703669187,3.529838707379,0.415644434321015
inh_to_exc,1.50304464727,5.5737070373840005,0.423690073616672
inh_to_e23,1.5366590789430001,5.135783334717,0.599286299800422
inh_to_e4,1.496270213245,5.849322584522,0.378048979506841
inh_to_e5et,1.8332228743499999,7.238139091983,0.773026294928808
inh_to_e5it,1.20142119665,6.335480462174,0.560133171784439
inh_to_e5np,1.50304464727,5.5737070373840005,0.423690073616672
inh_to_e6,1.50304464727,5.5737070373840005,0.423690073616672
inh_to_pv,1.1219437229090001,3.932194997191,0.331878268760068
inh_to_sst,1.683826093263,3.395965862957,0.510920623810497
inh_to_vip,1.576747920368,3.830618201931,0.584422106061731
inh_to_inh,1.2177270278599999,3.551766687121,0.366514564654551
vip_to_exc,1.50304464727,5.5737070373840005,0.423690073616672
vip_to_e23,1.5366590789430001,5.135783334717,0.599286299800422
vip_to_e4,1.496270213245,5.849322584522,0.378048979506841
vip_to_e5et,1.8332228743499999,7.238139091983,0.773026294928808
vip_to_e5it,1.20142119665,6.335480462174,0.560133171784439
vip_to_e5np,1.50304464727,5.5737070373840005,0.423690073616672
vip_to_e6,1.50304464727,5.5737070373840005,0.423690073616672
vip_to_pv,2.456332123482,3.932194997191,0.660294458012735
vip_to_sst,2.228045348568,3.395965862957,0.550285313599962
vip_to_vip,2.456332123482,3.1692891322729997,0.660294458012735
vip_to_inh,2.456332123482,3.1692891322729997,0.660294458012735
