,w0,w1,w2,w3,w4
e4_to_e5np,-0.07700629231003223,0.5307319529983305,0.8914879429727283,0.002390582564644139,0.007027340517401351
e4_to_e6,-0.07700629234739774,0.5307319530968531,0.8914879428536358,0.0023905826427808585,0.0070273404939584505
e4_to_pv,0.8004598398590281,0.30586071035572,0.19192835220164417,-0.03135039355443037,0.01928535584004052
e4_to_sst,0.0658369387002683,0.9317346968765097,0.2153974716422618,0.1458791442617811,-0.018889978320535947
e4_to_vip,-0.0883087774788453,0.6511998837905737,0.7259406621447535,-0.04964725709790807,0.01232597857222742
e4_to_inh,0.57169196947827,0.6290829694951313,-0.31203283322150577,0.3276747715819785,0.020982537765357342
e5et_to_exc,-0.04359177724107761,0.646584816199838,1.3883254178636621,0.09869425296245227,-0.00935829289552527
e5et_to_e23,0.017081805784369686,0.46266389121982,0.6394989459551017,0.41975714333216363,0.06663182632409231
e5et_to_e4,-0.07980635722386414,0.43505509449189095,1.2500069611008302,-0.10059526744134417,0.0184307094519644
e5et_to_e5et,-0.14840805179021332,1.0738878017541842,1.8801441131106535,-0.19624267990327887,0.03424137604838079
e5et_to_e5it,-0.162168500511887,0.8117416538803702,0.24478328560360796,0.41045815597748625,0.37049401047526065
e5et_to_e5np,-0.0655575847350952,0.57903984266616,0.7555134761940185,0.12972387499845509,-0.03792139403294591
e5et_to_e6,-0.0770062923383451,0.5307319530575058,0.8914879429138556,0.0023905825978502715,0.007027340508547711
e5et_to_pv,0.6127560718137716,0.5636156092396922,0.010336316580107002,0.0660800219909834,-0.014508087815983117
e5et_to_sst,0.06583693874743157,0.9317346967826667,0.21539747173130172,0.14587914421295048,-0.018889978307593216
e5et_to_vip,-0.08830877742194268,0.6511998836575044,0.7259406622900322,-0.0496472571869887,0.012325978598014625
e5et_to_inh,0.35717060763997505,0.7994140441476392,-0.09700200067826231,0.17595055651913727,-0.02750215134978677
e5it_to_exc,-0.1029867171830281,0.5885527203887285,0.631831666792351,0.465988392313853,0.09293704017662066
e5it_to_e23,-0.049583694942500145,0.5157690273445882,0.6812456787995294,0.34112417847629994,0.10197637800079404
e5it_to_e4,-0.07980635719216161,0.43505509440254053,1.250006961219465,-0.10059526752674242,0.018430709479322044
e5it_to_e5et,-0.04758808142156057,0.34611868752175634,1.745702331698428,0.04024198495007236,-0.0006867950716143434
e5it_to_e5it,0.009423159978023848,0.4608704473083943,0.4984730239845858,0.41141543043661083,0.3203454703046368
e5it_to_e5np,-0.07700629235444506,0.5307319530914485,0.8914879428802289,0.0023905826167425204,0.007027340503445001
e5it_to_e6,-0.07700629232043185,0.5307319530177942,0.8914879429561197,0.002390582572247696,0.007027340515823495
e5it_to_pv,0.2941227268605837,0.917865994387994,-0.31449848365076055,0.25876476895407596,0.01508398899966043
e5it_to_sst,0.2813417103266235,0.6207973792096486,0.47836259336179987,0.007770629830537619,0.0001765889989129854
e5it_to_vip,-0.08830877743362059,0.6511998836900763,0.7259406622472264,-0.049647257156458735,0.012325978588200268
e5it_to_inh,0.13113964517377913,0.9370952177622502,0.12229929288982677,0.1306164437614437,-0.02009950131791921
e5np_to_exc,-0.0770062923559769,0.5307319530895219,0.8914879428886593,0.002390582608296443,0.0070273405063831645
e5np_to_e23,-0.06646840322350273,0.5950613358163902,0.58840508128022,0.4006786781620564,0.0798062041705328
e5np_to_e4,-0.07980635739567005,0.43505509483547455,1.2500069607861921,-0.10059526728180557,0.01843070941358288
e5np_to_e5et,-0.04758808166516948,0.3461186880904562,1.745702331068741,0.0402419853419651,-0.0006867951849522935
e5np_to_e5it,-0.1621685004653189,0.8117416537889068,0.2447832856835033,0.4104581559396824,0.3704940104836202
e5np_to_e5np,-0.077006292335945,0.5307319530515324,0.8914879429213763,0.0023905825924198376,0.007027340510283767
e5np_to_e6,-0.07700629230505196,0.5307319529783611,0.891487943003737,0.0023905825408146175,0.007027340525241635
e5np_to_pv,0.8975095729552807,0.9414814292391069,0.3537796598616281,-0.08885531939393494,0.016885466551758335
e5np_to_sst,0.06583693864957854,0.9317346969796064,0.2153974715443528,0.14587914431426408,-0.018889978333984946
e5np_to_vip,-0.08830877742920451,0.6511998836812163,0.7259406622549921,-0.049647257160014086,0.012325978588926853
