node_id pop_name DSI OSI preferred_angle max_mean_rate(Hz) Avg_Rate(Hz)
141 e5Rbp4 0.11232977700179786 0.21207146191099951 225 7.0 4.425000000000001
142 e5Rbp4 0.09752868621749661 0.14337208778404373 180 2.2 1.5000000000000002
143 e5Rbp4 0.49999999999999994 1.0 180 0.6 0.1
144 e5Rbp4 0.6123724356957947 0.49999999999999994 180 0.4 0.1
145 e5Rbp4 0.39970466456168763 0.7693092581620721 180 0.6 0.175
146 e5Rbp4 0.04480889476170333 0.051361129280113826 180 10.8 8.775
147 e5Rbp4 0.05121748728571333 0.10437348830575557 180 6.8 4.8500000000000005
149 e5Rbp4 0.3624721096464489 0.8256275792716588 180 1.8 0.425
150 e5Rbp4 0.23136819723882568 0.4054054054054054 180 2.2 0.925
151 e5Rbp4 1.0 1.0 180 0.6 0.075
152 e5Rbp4 0.07484719230556823 0.08768894029410937 180 3.6 2.5500000000000003
154 e5Rbp4 0.10847596778029943 0.15863855720744083 180 9.4 5.8500000000000005
155 e5Rbp4 1.0 1.0 180 0.8 0.1
156 e5Rbp4 0.08600519389490499 0.19403406780099539 180 9.2 5.7749999999999995
157 e5Rbp4 0.22452070688520848 0.23396812534246808 180 11.2 5.3999999999999995
160 e5Rbp4 0.20057309147858365 0.41038938613813974 180 6.0 2.025
161 e5Rbp4 0.11717239278891853 0.7500000000000001 180 1.6 0.4
162 e5Rbp4 0.14555937921863873 0.34550770457549634 180 7.6 3.3000000000000003
163 e5Rbp4 1.0 1.0 180 0.2 0.025
164 e5Rbp4 0.003981725994411272 0.011494252873563203 225 11.2 10.875
165 e5Rbp4 0.21688121397154636 0.26374238863410965 180 6.6 2.899999999999999
166 e5Rbp4 0.13755837496946546 0.23212790587715237 180 5.0 3.0500000000000003
167 e5Rbp4 0.038504495596432715 0.06001460205007892 180 17.4 14.55
168 e5Rbp4 0.48856205926097873 0.536902157237916 180 4.8 1.075
169 e5Rbp4 0.05599203455289783 0.07678496239654233 180 16.2 12.325
170 e5Rbp4 0.7430558756620962 0.4242640687119287 180 1.0 0.24999999999999997
171 e5Rbp4 0.6512331668322792 0.5892556509887896 180 1.6 0.30000000000000004
172 e5Rbp4 0.13953961019961855 0.2028254632492827 180 7.8 4.075
173 e5Rbp4 1.0 1.0 180 0.2 0.025
176 e5Rbp4 0.3380580707677053 0.6636668488032066 180 1.6 0.575
177 e5Rbp4 0.6102561904982653 0.5892556509887897 180 2.6 0.6000000000000001
178 e5Rbp4 0.24110487839780914 0.19314467854518122 180 6.6 3.3000000000000003
179 e5Rbp4 0.09894078463922887 0.18942914964826926 180 17.6 10.25
180 e5Rbp4 0.10124630077906806 0.17308575240599797 180 5.4 3.2999999999999994
181 e5Rbp4 0.022635392272142642 0.06372581406973034 180 11.0 9.325
183 e5Rbp4 0.21261900953458898 0.34753849726380404 180 6.4 2.45
184 e5Rbp4 0.2823181374808271 0.48257301243311057 180 6.2 1.825
185 e5Rbp4 0.45238527345479873 0.4320677271083334 180 2.6 0.7250000000000001
186 e5Rbp4 0.15796083896243052 0.3664662612862977 180 9.8 4.4
187 e5Rbp4 1.0 1.0 180 0.2 0.025
188 e5Rbp4 0.1173439638186392 0.11557544888464932 180 9.4 5.425
190 e5Rbp4 0.5999999999999999 0.7333333333333333 180 2.0 0.37500000000000006
191 e5Rbp4 0.11690759056536192 0.33486659067673125 180 4.2 2.05
192 e5Rbp4 0.13086630843259975 0.3292694449033174 180 5.6 2.8
193 e5Rbp4 1.0 1.0 180 0.6 0.075
195 e5Rbp4 0.11059166393654656 0.29646353064078557 180 12.6 6.3999999999999995
196 e5Rbp4 0.07958947679247289 0.1310227601946226 180 21.2 13.4
197 e5Rbp4 0.5595865303863626 0.8246211251235323 180 0.6 0.125
198 e5Rbp4 0.0267843767225402 0.11044514717135594 180 6.4 4.7749999999999995
199 e5Rbp4 0.9326442173106044 0.7453559924999299 180 0.8 0.15000000000000002
200 e5Rbp4 1.0 1.0 180 1.8 0.225
202 e5Rbp4 0.4176950090168957 0.600788436608204 225 1.0 0.32500000000000007
204 e5Rbp4 1.0 1.0 180 0.2 0.025
205 e5Rbp4 0.19710351382716318 0.5794340356355437 225 2.6 1.0999999999999999
206 e5Rbp4 0.718843122357304 0.7288689868556626 180 1.0 0.2
207 e5Rbp4 0.0234678015366532 0.06469509228598413 0 13.2 11.624999999999998
208 e5Rbp4 0.012726898778839618 0.04518242277371 0 10.0 9.075000000000001
